name,biography,photo,birth_date,death_date,nationality
1980Books biên soạn,"Đội ngũ biên tập và tác giả của 1980Books, chuyên biên soạn và xuất bản các đầu sách về kinh doanh, kỹ năng và giáo dục.",,,,Việt Nam
A Từ Cô Nương,"Tác giả tiểu thuyết ngôn tình Trung Quốc, nổi tiếng với các tác phẩm văn học mạng nhẹ nhàng, hài hước.",,,,Trung Quốc
Abhijit V. Banerjee,"Nhà kinh tế học người Mỹ gốc Ấn, Giáo sư tại MIT. Ông đồng sáng lập J-PAL và nhận giải Nobel Kinh tế năm 2019 cùng Esther Duflo và Michael Kremer.",,1961-02-21,,Hoa Kỳ
Abigail Baird,"Giáo sư Tâm lý học tại Đại học Vassar, chuyên nghiên cứu về sự phát triển não bộ và hành vi ở thanh thiếu niên.",,1970-01-01,,Hoa Kỳ
Abigail Hookham,"Họa sĩ minh họa sách thiếu nhi người Anh, nổi tiếng với phong cách vẽ ấm áp và giàu trí tưởng tượng.",,,,Vương quốc Liên hiệp Anh và Bắc Ireland
Acccototo,"Nhóm tác giả tranh truyện Nhật Bản gồm vợ chồng Toto và Acco, nổi tiếng với các bộ sách ehon cho trẻ em.",,,,Nhật Bản
Adam Braun,"Doanh nhân, tác giả người Mỹ, nhà sáng lập tổ chức Pencils of Promise, chuyên xây dựng trường học cho trẻ em nghèo trên khắp thế giới.",,1983-10-31,,Hoa Kỳ
Adam Grant,"Nhà tâm lý học tổ chức người Mỹ, giáo sư tại Wharton School. Tác giả của nhiều cuốn sách bán chạy về tư duy, động lực và ý nghĩa công việc.",,1981-08-13,,Hoa Kỳ
Adam Khoo,"Doanh nhân, tác giả và chuyên gia đào tạo người Singapore. Nổi tiếng với các cuốn sách về phương pháp học tập và làm giàu như 'Tôi Tài Giỏi, Bạn Cũng Thế'.",,1974-08-04,,Singapore
Adam Silvera,Nhà văn người Mỹ chuyên viết tiểu thuyết cho thanh thiếu niên. Tác giả của các cuốn sách bán chạy như 'They Both Die at the End'.,,1990-07-06,,Hoa Kỳ
Aga Naomi,"Tác giả truyện tranh (Manga) Nhật Bản, được biết đến với các tác phẩm thể loại Boys Love.",,,,Nhật Bản
Agatha Christie,"Nữ văn sĩ người Anh, được mệnh danh là 'Nữ hoàng trinh thám'. Bà là tác giả của 66 tiểu thuyết trinh thám và tạo ra nhân vật Hercule Poirot.",,,1976-12-01,Vương quốc Liên hiệp Anh và Bắc Ireland
Agatha Christie Limited,"Công ty quản lý bản quyền văn học và truyền thông cho các tác phẩm của Agatha Christie, được thành lập bởi chính tác giả vào năm 1955.",,,,Vương quốc Liên hiệp Anh và Bắc Ireland
Ajay Agrawal,"Giáo sư Kinh doanh tại Rotman School of Management, Đại học Toronto. Chuyên gia về kinh tế học của trí tuệ nhân tạo.",,,,Canada
Akash Karia,"Diễn giả chuyên nghiệp và tác giả của nhiều cuốn sách về kỹ năng giao tiếp, năng suất và tâm lý học thành công.",,,,Tanzania
Akiyoshi Horie,"Dược sĩ y học cổ truyền Nhật Bản, Giám đốc Hiệp hội Y học cổ truyền Nhật Bản. Tác giả sách về sức khỏe và lưu thông máu.",,,,Nhật Bản
