name,description
Bài học kinh doanh,"Sách chia sẻ các bài học, kinh nghiệm thực chiến, thất bại và thành công trong quá trình kinh doanh, quản lý và vận hành doanh nghiệp."
Chăm sóc sức khỏe,"Y tế nghĩa đen là chữa bệnh và cứu giúp, hay Chăm sóc sức khỏe, là việc chẩn đoán, điều trị và phòng ngừa bệnh, bệnh tật, thương tích, và suy yếu về thể chất và tinh thần khác ở người."
Cẩm nang làm cha mẹ,"Sách cung cấp kiến thức, kỹ năng, phương pháp và lời khuyên hữu ích cho các bậc phụ huynh trong hành trình nuôi dạy, chăm sóc và thấu hiểu con cái."
Giáo Trình Đại Học,"Tài liệu giảng dạy và học tập chính thức, chuyên sâu được biên soạn và sử dụng trong các trường đại học, cao đẳng và học viện."
Kiến Thức Bách Khoa,"Sách tập hợp, hệ thống hóa kiến thức tổng quát hoặc chuyên sâu về nhiều lĩnh vực khác nhau của đời sống, tự nhiên, khoa học và xã hội."
Lý Luận Chính Trị,"Sách chuyên khảo nghiên cứu về các học thuyết, hệ tư tưởng, đường lối, chính sách và các vấn đề cơ bản của chính trị học."
Lĩnh vực khác,"Các loại sách thuộc các chủ đề đa dạng, phong phú, không nằm trong các nhóm phân loại chính thường gặp."
Lập Trình,"Sách hướng dẫn kỹ thuật lập trình, tư duy thuật toán, sử dụng các ngôn ngữ lập trình và quy trình phát triển phần mềm."
Lịch Sử Thế Giới,"Sách ghi chép, tổng hợp và phân tích các sự kiện, giai đoạn, nền văn minh và nhân vật lịch sử quan trọng trên phạm vi toàn cầu."
Lịch Sử Việt Nam,"Sách về quá trình hình thành, dựng nước và giữ nước, các triều đại và biến động lịch sử của dân tộc Việt Nam qua các thời kỳ."
Mỹ Thuật,"Sách về hội họa, điêu khắc, kiến trúc, lịch sử nghệ thuật và các kỹ thuật sáng tạo trong nghệ thuật thị giác."
Nuôi dạy con,"Sách chia sẻ các phương pháp giáo dục hiện đại, kinh nghiệm thực tế giúp cha mẹ nuôi dưỡng thể chất và tinh thần cho trẻ."
Phê Bình,"Sách tập hợp các bài viết, tiểu luận, công trình nghiên cứu đánh giá, phân tích và cảm thụ các tác phẩm văn học nghệ thuật."
Sách Chiêm Tinh,"Sách nghiên cứu về vị trí, sự vận động của các thiên thể và niềm tin về ảnh hưởng của chúng đến tính cách, vận mệnh con người."
Sách Chính Trị,"Sách bàn luận về các vấn đề chính trị, thể chế nhà nước, quan hệ quốc tế, ngoại giao và các xu hướng chính trị đương đại."
Sách Công Nghệ Thông Tin,"Sách cung cấp kiến thức về phần cứng, phần mềm, mạng máy tính, khoa học dữ liệu, trí tuệ nhân tạo và công nghệ số."
Sách Danh Nhân,"Tiểu sử, hồi ký, tự truyện hoặc câu chuyện về cuộc đời, sự nghiệp và tư tưởng của những nhân vật nổi tiếng, có tầm ảnh hưởng lớn."
Sách Dinh Dưỡng,"Sách cung cấp kiến thức khoa học về thực phẩm, chế độ ăn uống lành mạnh, cân bằng và vai trò của dinh dưỡng đối với sức khỏe."
Sách Giáo Khoa,Hệ thống sách chuẩn hóa được Bộ Giáo dục quy định để sử dụng trong giảng dạy và học tập tại các trường phổ thông.
Sách Giáo Khoa Cấp 1,"Bộ sách giáo khoa dành cho học sinh tiểu học (từ lớp 1 đến lớp 5), cung cấp kiến thức nền tảng cơ bản."
Sách Giáo Khoa Cấp 2,"Bộ sách giáo khoa dành cho học sinh trung học cơ sở (từ lớp 6 đến lớp 9), mở rộng và nâng cao kiến thức phổ thông."
Sách Giáo Khoa Cấp 3,"Bộ sách giáo khoa dành cho học sinh trung học phổ thông (từ lớp 10 đến lớp 12), chuẩn bị kiến thức cho bậc đại học."
Sách Học Ngoại Ngữ,"Tài liệu, giáo trình hỗ trợ việc học tập, rèn luyện các kỹ năng nghe, nói, đọc, viết của các ngôn ngữ nước ngoài."
Sách Học Tiếng Anh,"Sách chuyên sâu để học tiếng Anh: ngữ pháp, từ vựng, giao tiếp, luyện thi các chứng chỉ quốc tế như TOEIC, IELTS, TOEFL."
Sách Học Tiếng Hoa,"Tài liệu, giáo trình hỗ trợ học tiếng Trung Quốc (Phổ thông), bao gồm chữ Hán, phiên âm Pinyin và ngữ pháp."
Sách Học Tiếng Nhật,"Tài liệu, giáo trình hỗ trợ học tiếng Nhật Bản, bao gồm bảng chữ cái, từ vựng, ngữ pháp và văn hóa Nhật."
Sách Khoa Học,"Sách phổ biến kiến thức, khám phá các nguyên lý, định luật và hiện tượng trong các ngành khoa học tự nhiên và xã hội."
Sách Kiến Thức,"Sách cung cấp thông tin, sự thật thú vị và hiểu biết sâu rộng về thế giới tự nhiên, vũ trụ và con người."
Sách Kiến Thức Tổng Hợp,"Tuyển tập các kiến thức đa dạng, phong phú từ nhiều lĩnh vực khác nhau, giúp mở rộng tầm hiểu biết chung."
