name,description,website
Cambridge University Press,"Nhà xuất bản Đại học Cambridge (Cambridge University Press, CUP) là một nhà xuất bản của Đại học Cambridge. Được thành lập bởi Henry VIII năm 1534, đây là nhà xuất bản lâu đời nhất và là nhà xuất bản trực thuộc đại học lớn thứ hai trên thế giới (sau Oxford University Press).   == Chú thích ==...",https://cambridge.org/universitypress
Dreamland Publications,"Nhà xuất bản sách thiếu nhi hàng đầu có trụ sở tại Ấn Độ. Chuyên về sách tiền học đường, sách hoạt động (Activity Books), sách tô màu, truyện cổ tích, sách giáo dục sớm và các tài liệu học tập dành cho trẻ em.",https://www.dreamlandpublications.com/
Hoa Học Trò,"Hoa Học Trò (còn gọi là H2T, HHT) là ấn phẩm của báo Tiền phong, là tờ báo dành cho lứa tuổi thanh thiếu niên. Số đầu tiên của Hoa Học Trò bắt đầu phát hành từ ngày 15 tháng 10 năm 1991, dưới sự hỗ trợ của Đoàn Thanh niên Cộng sản Hồ Chí Minh....",http://www.hoahoctro.vn/
Nhà Xuất Bản Thế Giới,"NXB chuyên xuất bản các ấn phẩm về Việt Nam (Lịch sử, Văn hóa, Nghệ thuật, Xã hội, Khoa học Công nghệ) bằng tiếng Việt và các ngôn ngữ nước ngoài (sách ngoại văn, sách song ngữ, sách học ngoại ngữ). Nổi bật với việc giới thiệu văn hóa và đất nước Việt Nam ra thế giới.",https://thegioipublishers.vn/
NXB Trẻ,"NXB nổi tiếng và đa dạng về các thể loại sách, đặc biệt hướng đến đối tượng độc giả trẻ và công chúng. Các mảng sách chính bao gồm: Văn học, Khoa học, Tâm lý - Giáo dục, Sách học ngoại ngữ, Truyện tranh, sách thiếu nhi, v.v. Với sứ mệnh ""Nuôi dưỡng tâm hồn – Khơi nguồn tri thức"".",https://www.nxbtre.com.vn/
Nhà Xuất Bản Tổng hợp TP.HCM,"Cơ quan chính trị – tư tưởng – văn hóa của Đảng bộ và nhân dân Thành phố Hồ Chí Minh (TP.HCM). Xuất bản hàng ngàn tựa sách đa dạng thể loại về: chính trị, lịch sử, văn hóa, kinh tế, pháp luật, khoa học - kỹ thuật, từ điển, ngoại ngữ, giáo trình và tài liệu tham khảo cho nhiều cấp học.",https://nxbhcm.com.vn/
Nhiều Nhà Xuất Bản,,
Nhà Xuất Bản Bách Khoa Hà Nội,"NXB trực thuộc Trường Đại học Bách Khoa Hà Nội (HUST). Chuyên xuất bản các ấn phẩm học thuật, khoa học, kỹ thuật, công nghệ, giáo trình, sách tham khảo phục vụ việc đào tạo đại học và nghiên cứu khoa học.",https://hust.edu.vn/
Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,"NXB trực thuộc Trung ương Đảng Cộng sản Việt Nam. Chuyên xuất bản các tài liệu chính trị, lý luận Mác - Lênin, tư tưởng Hồ Chí Minh, đường lối, chính sách của Đảng và Nhà nước, sách lịch sử Đảng, lịch sử cách mạng Việt Nam.",https://stbook.vn/
Nhà Xuất Bản Compass Publishing,"(Đây là một NXB nước ngoài, thường liên kết với các NXB Việt Nam để xuất bản sách tiếng Anh). Chuyên về sách học tiếng Anh (tiếng Anh học thuật, tiếng Anh cho trẻ em, sách luyện thi, sách đọc hiểu, từ điển, v.v.).",https://www.compasspub.com/eng/main/index.asp
